charcode,character,comments,name
0x0,,Character cell is blank,NULL
0x1,☺,,START OF HEADING
0x2,☻,,START OF TEXT
0x3,♥,,END OF TEXT
0x4,♦,,END OF TRANSMISSION
0x5,♣,,ENQUIRY
0x6,♠,,ACKNOWLEDGE
0x7,•,,BELL
0x8,◘,,BACKSPACE
0x9,○,,HORIZONTAL TABULATION
0xa,◙,,LINE FEED
0xb,♂,,VERTICAL TABULATION
0xc,♀,,FORM FEED
0xd,♪,,CARRIAGE RETURN
0xe,♫,,SHIFT OUT
0xf,☼,,SHIFT IN
0x10,►,,DATA LINK ESCAPE
0x11,◄,,DEVICE CONTROL ONE
0x12,↕,,DEVICE CONTROL TWO
0x13,‼,,DEVICE CONTROL THREE
0x14,¶,,DEVICE CONTROL FOUR
0x15,§,,NEGATIVE ACKNOWLEDGE
0x16,▬,,SYNCHRONOUS IDLE
0x17,↨,,END OF TRANSMISSION BLOCK
0x18,↑,,CANCEL
0x19,↓,,END OF MEDIUM
0x1a,→,,SUBSTITUTE
0x1b,←,,ESCAPE
0x1c,∟,,FILE SEPARATOR
0x1d,↔,,GROUP SEPARATOR
0x1e,▲,,RECORD SEPARATOR
0x1f,▼,,UNIT SEPARATOR

