key,name,character
0,NUL,
1,SOH,
2,STX,
3,ETX,
4,SEL,
5,HT,
6,RNL,
7,DEL,
8,GE,
9,SPS,
10,RPT,
11,VT,
12,FF,
13,CR,
14,SO,
15,SI,
16,DLE,
17,DC1,
18,DC2,
19,DC3,
20,RES/ENP,
21,NL,
22,BS,
23,POC,
24,CAN,
25,EM,
26,UBS,
27,CU1,
28,IFS,
29,IGS,
30,IRS,
31,IUS/ITB,
32,DS,
33,SOS,
34,FS,
35,WUS,
36,BYP/INP,
37,LF,
38,ETB,
39,ESC,
40,SA,
41,SFE,
42,SM/SW,
43,CSP,
44,MFA,
45,ENQ,
46,ACK,
47,BEL,
50,SYN,
51,IR,
52,PP,
53,TRN,
54,NBS,
55,EOT,
56,SBS,
57,IT,
58,RFF,
59,CU3,
60,DC4,
61,NAK,
63,SUB,
64,SP,
74,,¢
75,,.
76,,<
77,,(
78,,+
79,,|
80,,&
90,,!
91,,$
92,,*
93,,)
94,,;
95,,¬
96,,-
97,,/
106,,|
107,,","
108,,%
109,,_
110,,>
111,,?
121,,`
122,,:
123,,#
124,,@
125,,"'"
126,,=
127,,""""
129,,a
130,,b
131,,c
132,,d
133,,e
134,,f
135,,g
136,,h
137,,i
143,,±
145,,j
146,,k
147,,l
148,,m
149,,n
150,,o
151,,p
152,,q
153,,r
161,,~
162,,s
163,,t
164,,u
165,,v
166,,w
167,,x
168,,y
169,,z
176,,^
186,,[
187,,]
192,,{
193,,A
194,,B
195,,C
196,,D
197,,E
198,,F
199,,G
200,,H
201,,I
208,,{
209,,J
210,,K
211,,L
212,,M
213,,N
214,,O
215,,P
216,,Q
217,,R
224,,\
226,,S
227,,T
228,,U
229,,V
230,,W
231,,X
232,,Y
233,,Z
255,EO,
240,,0
241,,1
242,,2
243,,3
244,,4
245,,5
246,,6
247,,7
248,,8
249,,9
