value,rate,period
0,30.0,33.333333333333336
1,26.666666666666668,37.5
2,24.0,41.666666666666664
3,21.81818181818182,45.83333333333333
4,20.0,50.0
5,18.46153846153846,54.16666666666667
6,17.142857142857142,58.333333333333336
7,16.0,62.5
8,15.0,66.66666666666667
9,13.333333333333334,75.0
10,12.0,83.33333333333333
11,10.90909090909091,91.66666666666666
12,10.0,100.0
13,9.23076923076923,108.33333333333334
14,8.571428571428571,116.66666666666667
15,8.0,125.0
16,7.5,133.33333333333334
17,6.666666666666667,150.0
18,6.0,166.66666666666666
19,5.454545454545455,183.33333333333331
20,5.0,200.0
21,4.615384615384615,216.66666666666669
22,4.285714285714286,233.33333333333334
23,4.0,250.0
24,3.75,266.6666666666667
25,3.3333333333333335,300.0
26,3.0,333.3333333333333
27,2.7272727272727275,366.66666666666663
28,2.5,400.0
29,2.3076923076923075,433.33333333333337
30,2.142857142857143,466.6666666666667
31,2.0,500.0
