makecode,breakcode,key,comments
0x1C,0xF0 0x1C,A,
0x32,0xF0 0x32,B,
0x21,0xF0 0x21,C,
0x23,0xF0 0x23,D,
0x24,0xF0 0x24,E,
0x28,0xF0 0x28,F,
0x34,0xF0 0x34,G,
0x33,0xF0 0x33,H,
0x43,0xF0 0x43,I,
0x3B,0xF0 0x3B,J,
0x42,0xF0 0x42,K,
0x4B,0xF0 0x4B,L,
0x3A,0xF0 0x3A,M,
0x31,0xF0 0x31,N,
0x44,0xF0 0x44,O,
0x4D,0xF0 0x4D,P,
0x15,0xF0 0x15,Q,
0x2D,0xF0 0x2D,R,
0x1B,0xF0 0x1B,S,
0x2C,0xF0 0x2C,T,
0x3C,0xF0 0x3C,U,
0x2A,0xF0 0x2A,V,
0x1D,0xF0 0x1D,W,
0x22,0xF0 0x22,X,
0x35,0xF0 0x35,Y,
0x1A,0xF0 0x1A,Z,
0x45,0xF0 0x45,0,
0x16,0xF0 0x16,1,
0x1E,0xF0 0x1E,2,
0x26,0xF0 0x26,3,
0x25,0xF0 0x25,4,
0x2E,0xF0 0x2E,5,
0x36,0xF0 0x36,6,
0x3D,0xF0 0x3D,7,
0x3E,0xF0 0x3E,8,
0x46,0xF0 0x46,9,
0x0E,0xF0 0x0E,`,
0x4E,0xF0 0x4E,-,
0x55,0xF0 0x55,=,
0x5D,0xF0 0x5D,\,
0x66,0xF0 0x66,Backspace,
0x29,0xF0 0x29,Space,
0x0D,0xF0 0x0D,Tab,
0x58,0xF0 0x58,Caps lock,
0x12,0xF0 0x12,Left shift,
0x14,0xF0 0x14,Left control,
0xE0 0x1F,0xE0 0xF0 0x1F,Left Windows,
0x11,0xF0 0x11,Left alt,
0x59,0xF0 0x59,Right shift,
0xE0 0x14,0xE0 0xF0 0x14,Right control,
0xE0 0x27,0xE0 0xF0 0x27,Right Windows,
0xE0 0x11,0xE0 0xF0 0x11,Right alt,
0xE0 0x2F,0xE0 0xF0 0x2F,Application menu,
0x5A,0xF0 0x5A,Enter,
0x76,0xF0 0x76,Escape,
0x05,0xF0 0x05,F1,
0x06,0xF0 0x06,F2,
0x04,0xF0 0x04,F3,
0x0C,0xF0 0x0C,F4,
0x03,0xF0 0x03,F5,
0x0B,0xF0 0x0B,F6,
0x83,0xF0 0x83,F7,
0x0A,0xF0 0x0A,F8,
0x01,0xF0 0x01,F9,
0x09,0xF0 0x09,F10,
0x78,0xF0 0x78,F11,
0x07,0xF0 0x07,F12,
0xE0 0x12 0xE0 0x7C,0xE0 0xF0 0x7C 0xE0 0xF0 0x12,Print Screen,
0x7E,0xF0 0x7E,Scroll lock,
0xE1 0x14 0x77 0xE1 0xF0 0x14 0xF0 0x77,-,Pause,"Pause key does not have a break code. The make code is both make and break"
0x54,0xF0 0x54,[,
0xE0 0x70,0xE0 0xF0 0x70,Insert,
0xE0 0x6C,0xE0 0xF0 0x6C,Home,
0xE0 0x7D,0xE0 0xF0 0x7D,Page up,
0xE0 0x71,0xE0 0xF0 0x71,Delete,
0xE0 0x69,0xE0 0xF0 0x69,End,
0xE0 0x7A,0xE0 0xF0 0x7A,Page down,
0xE0 0x75,0xE0 0xF0 0x75,Up arrow,
0xE0 0x6B,0xE0 0xF0 0x6B,Left arrow,
0xE0 0x72,0xE0 0xF0 0x72,Down arrow,
0xE0 0x74,0xE0 0xF0 0x74,Right arrow,
0x77,0xF0 0x77,Num lock,
0xE0 0x4A,0xE0 0xF0 0x4A,Keypad /,
0x7C,0xF0 0x7C,Keypad *,
0x7B,0xF0 0x7B,Keypad -,
0x79,0xF0 0x79,Keypad +,
0xE0 0x5A,0xE0 0xF0 0x5A,Keypad Enter,
0x71,0xF0 0x71,Keypad .,
0x70,0xF0 0x70,Keypad 0,
0x69,0xF0 0x69,Keypad 1,
0x72,0xF0 0x72,Keypad 2,
0x7A,0xF0 0x7A,Keypad 3,
0x6B,0xF0 0x6B,Keypad 4,
0x73,0xF0 0x73,Keypad 5,
0x74,0xF0 0x74,Keypad 6,
0x6C,0xF0 0x6C,Keypad 7,
0x75,0xF0 0x75,Keypad 8,
0x7D,0xF0 0x7D,Keypad 9,
0x5B,0xF0 0x5B,],
0x4C,0xF0 0x4C,;,
0x52,0xF0 0x52,"'",
0x41,0xF0 0x41,",",
0x49,0xF0 0x49,".",
0x4A,0xF0 0x4A,/,
0xE0 0x37,0xE0 0xF0 0x37,Power,"ACPI key/button"
0xE0 0x3F,0xE0 0xF0 0x3F,Sleep,"ACPI key/button"
0xE0 0x5E,0xE0 0xF0 0x5E,Wake,"ACPI key/button"
0xE0 0x4D,0xE0 0xF0 0x4D,Next track,"Windows multimedia keyboards"
0xE0 0x15,0xE0 0xF0 0x15,Previous track,"Windows multimedia keyboards"
0xE0 0x3B,0xE0 0xF0 0x3B,Stop,"Windows multimedia keyboards"
0xE0 0x34,0xE0 0xF0 0x34,Play/Pause,"Windows multimedia keyboards"
0xE0 0x23,0xE0 0xF0 0x23,Mute,"Windows multimedia keyboards"
0xE0 0x32,0xE0 0xF0 0x32,Volume Up,"Windows multimedia keyboards"
0xE0 0x21,0xE0 0xF0 0x21,Volume Down,"Windows multimedia keyboards"
0xE0 0x50,0xE0 0xF0 0x50,Media Select,"Windows multimedia keyboards"
0xE0 0x48,0xE0 0xF0 0x48,E-Mail,"Windows multimedia keyboards"
0xE0 0x2B,0xE0 0xF0 0x2B,Calculator,"Windows multimedia keyboards"
0xE0 0x40,0xE0 0xF0 0x40,My Computer,"Windows multimedia keyboards"
0xE0 0x10,0xE0 0xF0 0x10,WWW Search,"Windows multimedia keyboards"
0xE0 0x3A,0xE0 0xF0 0x3A,WWW Home,"Windows multimedia keyboards"
0xE0 0x38,0xE0 0xF0 0x38,WWW Back,"Windows multimedia keyboards"
0xE0 0x30,0xE0 0xF0 0x30,WWW Forward,"Windows multimedia keyboards"
0xE0 0x28,0xE0 0xF0 0x28,WWW Stop,"Windows multimedia keyboards"
0xE0 0x20,0xE0 0xF0 0x20,WWW Refresh,"Windows multimedia keyboards"
0xE0 0x18,0xE0 0xF0 0x18,WWW Favorites,"Windows multimedia keyboards"

