id,trackpside,sectptrack,sides,bytespsector,format
0xFF,40,8,2,512,5.25 inch floppy disk (320KB) 
0xFE,40,8,1,512,5.25 inch floppy disk (160KB) 
0xFE,77,26,1,128,8 inch floppy disk (250KB) 
0xFD,40,9,2,512,5.25 inch floppy disk (360KB) 
0xFD,77,26,2,128,8 inch floppy disk (500KB) 
0xFC,40,9,1,512,5.25 inch floppy disk (180KB) 
0xFB,80,8,2,512,5.25 inch floppy disk (640KB) 
0xFB,80,8,2,512,3.5 inch floppy disk (640KB) 
0xFA,80,8,1,512,5.25 inch floppy disk (320KB) 
0xFA,80,8,1,512,3.5 inch floppy disk (320KB) 
0xF9,80,9,2,512,3.5 inch floppy disk (720KB) 
0xF9,80,15,2,512,5.25 inch floppy disk (1.2MB) 
0xF8,-,-,-,-,Fixed disk 
0xF0,80,18,2,512,3.5 inch floppy disk (1.44MB) 

