port,rw,card,description,comments

SB_BASE+0x7,W,Sound Blaster 1.xx-Pro 2 only,"DSP Reset (Alias of SB_BASE+0x6)",
SB_BASE+0xB,R,Sound Blaster 1.xx-Pro 2 only,"DSP Read Data Port (Alias of SB_BASE+0xA)",
SB_BASE+0xD,W,Sound Blaster 1.xx-Pro 2 only,"DSP Write Command/Data (Alias of SB_BASE+0xC)",
SB_BASE+0xD,R,Sound Blaster 1.xx-Pro 2 only,"DSP Write-Buffer Status (Alias of SB_BASE+0xC)",
SB_BASE+0xF,R,Sound Blaster 1.xx-Pro 2 only,"DSP Read-Buffer Status (Alias of SB_BASE+0xE)",

SB_BASE+0xC,R,Sound Blaster 2.0-Pro 2 only,"DSP Write-Buffer Status","{bitfield:bits=8,bit[7]=Status{enum:1=Busy,0=Ready},bit[6]=0,bit[5]=1,bit[4]=0,bit[3]=1,bit[2]=0,bit[1]=1,bit[0]=0}Observed behavior on these cards is that bits 6-0 seem to contain a fixed value such that the byte read is either 0xAA or 0x2A instead of 0xFF or 0x7F. It is not known if these bits change over time."
SB_BASE+0xE,R,Sound Blaster 2.0-Pro 2 only,"DSP Read-Buffer Status","{bitfield:bits=8,bit[7]=Status{enum:1=Data ready,0=No data},bit[6]=0,bit[5]=1,bit[4]=0,bit[3]=1,bit[2]=0,bit[1]=1,bit[0]=0}Observed behavior on these cards is that bits 6-0 seem to contain a fixed value such that the byte read is either 0xAA or 0x2A instead of 0xFF or 0x7F. It is not known if these bits change over time."

