command,param,dspver,card,effect,comments
0x10,nn,1.0+,,"Direct write 8-bit DAC","Data is 8-bit unsigned format."
0x11,lo hi,,"ESS AudioDrive","Direct write 16-bit DAC","Data is 16-bit unsigned format, first low byte then high byte."
0x14,lo hi,1.0+,,"Start normal mode DMA for 8-bit DAC transfer","Data is transfer count - 1, least byte first. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 44 kHz mono, 22 kHz stereo."
0x15,lo hi,,"ESS AudioDrive","Start normal mode DMA for 16-bit DAC transfer","Data is transfer count - 1, least byte first. Stereo DAC transfer if stereo flag is set in Mixer register 0EH. Maximum sample rate is 22 kHz mono, 11 kHz stereo."
0x1C,,2.0+,,"Start auto-initialize mode DMA for 8-bit DAC transfer","Block size must be previously set by command 48h. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 44 kHz mono, 22 kHz stereo."
0x1D,,,"ESS AudioDrive","Start auto-initialize mode DMA for 16-bit DAC transfer","Block size must be previously set by command 48h. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 22 kHz mono, 11 kHz stereo."
0x20,,1.0+,,"Direct mode 8-bit ADC","Data is 8-bit unsigned. Firmware controlled input volume for AGC."
0x21,,,"ESS AudioDrive","Direct mode 16-bit ADC","Returns least byte first. Data is 16-bit unsigned format. Input volume controlled by command DDh."
0x24,lo hi,1.0+,,"Start normal mode DMA for 8-bit ADC transfer","Data is transfer count - 1, least byte first. Firmware controlled input volume for AGC. Maximum sample rate is 22 kHz: use command 99h for higher rates up to 44 kHz."
0x25,lo hi,,"ESS AudioDrive","Start normal mode DMA for 16-bit ADC transfer","Data is transfer count - 1, least byte first. Input volume controlled via command DDh. Maximum sample rate is 22 kHz."
0x2C,,2.0+,,"Start auto-initialize mode DMA for 8 bit ADC transfer","Block size must be previously set by command 48h. Firmware controlled input volume for AGC. Maximum sample rate is 22 kHz: use command 98h for higher rates up to 44 kHz."
0x2D,,,"ESS AudioDrive","Start auto-initialize mode DMA for 16-bit ADC transfer","Block size must be previously set by command 48h. Input volume is controlled by command DDh. Maximum sample rate is 22 kHz."
0x40,nn,1.0+,,"Set time constant","Set time constant, X, for timer used for DMA mode DAC/ADC transfers: rate = 1 MHz / (256-X) X must be less than or equal to 233. For stereo DAC, program sample rate for twice the per-channel rate."
0x41,nn,,"ESS AudioDrive","Alternate set time constant","Alternate set time constant, X: rate = 1.5 MHz / (256-X)\n\nThis command provides more accurate timing for certain rates such as 22,050. X must be less than equal to 222. For stereo DAC, program sample rate for twice the per-channel rate."
0x42,nn,,"ESS AudioDrive","Set filter clock independently of timer rate","Set filter clock independently of timer rate. (note that the filter clock is automatically set by commands 40h/41h) Filter clock rate: rate = 7.16E6 / (256-X)\n\nThe relationship between the low-pass filter -3 dB point and the filter clock rate is approximately 1:82."
0x48,lo hi,2.0+,,"Set block size","Set block size-1 for high speed mode and auto-init mode transfer, least byte first."
0x64,lo hi,,"ESS AudioDrive","Start ESPCM® 4.3-bit (low compression) format DMA transfer to DAC","Data is transfer count - 1, least byte first."
0x65,lo hi,,"ESS AudioDrive","Start ESPCM® 4.3-bit (low compression) format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first."
0x66,lo hi,,"ESS AudioDrive","Start ESPCM® 3.4-bit (medium compression) format DMA transfer to DAC","Data is transfer count - 1, least byte first."
0x67,lo hi,,"ESS AudioDrive","Start ESPCM® 3.4-bit (medium compression) format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first."
0x6A,lo hi,,"ESS AudioDrive","Start ESPCM® 2.5-bit (high compression) format DMA transfer to DAC","Data is transfer count - 1, least byte first."
0x6B,lo hi,,"ESS AudioDrive","Start ESPCM® 2.5-bit (high compression) format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first."
0x6E,lo hi,,"ESS AudioDrive","Start ESPCM® 4.3-bit (low compression) format ADC, compression, and DMA transfer","Data is transfer count - 1, least byte first."
0x6F,lo hi,,"ESS AudioDrive","Start ESPCM® 4.3-bit (low compression) format ADC, compression, and DMA transfer with reference byte","Data is transfer count - 1, least byte first."
0x74,lo hi,1.0+,,"Start ADPCM 4-bit format DMA transfer to DAC","Data is transfer count - 1, least byte first."
0x75,lo hi,1.0+,,"Start ADPCM 4-bit format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first."
0x76,lo hi,1.0+,,"Start ADPCM 2.6-bit format DMA transfer to DAC","Data is transfer count - 1, least byte first."
0x77,lo hi,1.0+,,"Start ADPCM 2.6-bit format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first."
0x7A,lo hi,,"ESS AudioDrive","Start ADPCM 2-bit format DMA transfer to DAC","Data is transfer count - 1, least byte first.\nFIXME: Verify on real hardware, this should be Sound Blaster auto-init 2.6/4-bit ADPCM. May be error."
0x7B,lo hi,,"ESS AudioDrive","Start ADPCM 2-bit format DMA transfer to DAC with reference byte","Data is transfer count - 1, least byte first.\nFIXME: Verify on real hardware, this should be Sound Blaster auto-init 2.6/4-bit ADPCM. May be error."
0x80,lo hi,1.0+,,"Generate silence period","Data is number of samples - 1."
0x90,,,"ESS AudioDrive","Start auto-initialize DMA 8-bit transfer to DAC","Transfer count must be previously set by command 48h."
0x91,,,"ESS AudioDrive","Start DMA 8-bit transfer to DAC","Transfer count must be previously set by command 48h."
0x98,,,"ESS AudioDrive","Start high speed mode, auto-initialize, DMA 8-bit transfer from ADC","Transfer count must be previously set by command 48h. There is no AGC. Input volume is controlled with command DDh. Maximum sample rate is 44 kHz."
0x99,,,"ESS AudioDrive","Start high speed mode, DMA 8-bit transfer from ADC","Transfer count must be previously set by command 48h. There is no AGC. Input volume is controlled with command DDh. Maximum sample rate is 44 kHz."
0xA0,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xA1,,,"ESS AudioDrive","Sample Rate Generator register (Extended register)","Bit 7: 1=Clock source is 795.5 kHz 0=Clock source is 397.7 kHz\nBits 6-0: Sample rate divider\n\nSample_Rate = 397.7 kHz / (128-x) if bit 7 = 0.\nSample_Rate = 795.5 kHz / (256-x) if bit 7 = 1.\nwhere: x = value in bits 7:0 of register A1h."
0xA2,,,"ESS AudioDrive","Filter Clock Divider register (Extended register)","This register controls the low-pass frequency of the switch-capacitor filters inside the ES1878. Generally, the filter roll-off should be positioned at 80% - 90% of the Sample_Rate/2 frequency. The ratio of the roll-off frequency to the filter clock frequency is 1:82. In other words, first determine the desired roll-off frequency by taking 80% of the Sample_Rate divided by 2, then multiply by 82 to find the desired Filter Clock frequency. Use the formula below to determine the closest divider:\n\nFilter_Clock_Frequency = 7.16 MHz / (256-Filter_Divider_Register)"
0xA3,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xA4,,,"ESS AudioDrive","Transfer Count Reload register – low byte (Extended register)","On reset, this register assumes the value of 00h. Low byte of 16-bit value in port A5h,A4h. See port A5h"
0xA5,,,"ESS AudioDrive","Transfer Count Reload register – high byte (Extended register)","On reset, this register assumes the value of F8h."
0xA6,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xA7,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xA8,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xA9,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAA,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAB,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAC,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAB,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAE,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xAF,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xB0,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xB1,,,"ESS AudioDrive","Interrupt Control register (Extended register)",""
0xB2,,,"ESS AudioDrive","DRQ Control register (Extended register)",""
0xB3,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xB4,,,"ESS AudioDrive","Input Volume Control register (Extended register)",""
0xB5,,,"ESS AudioDrive","DAC Direct Access register – low byte (Extended register)",""
0xB6,,,"ESS AudioDrive","DAC Direct Access register – high byte (Extended register)",""
0xB7,,,"ESS AudioDrive","Control 1 register (Extended register)",""
0xB8,,,"ESS AudioDrive","Control 2 register (Extended register)",""
0xB9,,,"ESS AudioDrive","Transfer Type register (Extended register)",""
0xBA,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xBB,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xBC,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xBD,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xBE,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xBF,,,"ESS AudioDrive","Unspecified (Extended register)",""
0xC0,nn,,"ESS AudioDrive","Read ESS extended register","Read from register specified by nn, where nn is a value from 0xA0-0xBF inclusive corresponding to an extended ESS register"
0xC1,,,"ESS AudioDrive","Resume after suspend",""
0xC6,,,"ESS AudioDrive","Enable ES1868 Extension commands Axh, Bxh. Must be issued after every reset.",""
0xC7,,,"ESS AudioDrive","Disable ES1868 Extension commands Axh, Bxh.",""
