command,param,dspver,card,effect,comments,return,__suppress
0x10,nn,1.0+,,"Direct write 8-bit DAC","Data is 8-bit unsigned format.",,SUPPRESS(THIS=comments)
0x11,lo hi,,"ESS AudioDrive","Direct write 16-bit DAC","Data is 16-bit unsigned format, first low byte then high byte."
0x14,lo hi,1.0+,,"Start normal mode DMA for 8-bit DAC transfer","Data is transfer count - 1, least byte first. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 44 kHz mono, 22 kHz stereo."
0x15,lo hi,,"ESS AudioDrive","Start normal mode DMA for 16-bit DAC transfer","Data is transfer count - 1, least byte first. Stereo DAC transfer if stereo flag is set in Mixer register 0EH. Maximum sample rate is 22 kHz mono, 11 kHz stereo."
0x1C,,2.0+,,"Start auto-initialize mode DMA for 8-bit DAC transfer","Block size must be previously set by command 48h. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 44 kHz mono, 22 kHz stereo."
0x1D,,,"ESS AudioDrive","Start auto-initialize mode DMA for 16-bit DAC transfer","Block size must be previously set by command 48h. Stereo DAC transfer if stereo flag is set in Mixer register 0Eh. Maximum sample rate is 22 kHz mono, 11 kHz stereo."
0x20,,1.0+,,"Direct mode 8-bit ADC","Data is 8-bit unsigned. Firmware controlled input volume for AGC.",sample
0x21,,,"ESS AudioDrive","Direct mode 16-bit ADC","Returns least byte first. Data is 16-bit unsigned format. Input volume controlled by command DDh.",lo hi
0x24,lo hi,1.0+,,"Start normal mode DMA for 8-bit ADC transfer","Data is transfer count - 1, least byte first. Firmware controlled input volume for AGC. Maximum sample rate is 22 kHz: use command 99h for higher rates up to 44 kHz."
0x25,lo hi,,"ESS AudioDrive","Start normal mode DMA for 16-bit ADC transfer","Data is transfer count - 1, least byte first. Input volume controlled via command DDh. Maximum sample rate is 22 kHz."
0x2C,,2.0+,,"Start auto-initialize mode DMA for 8 bit ADC transfer","Block size must be previously set by command 48h. Firmware controlled input volume for AGC. Maximum sample rate is 22 kHz: use command 98h for higher rates up to 44 kHz."
0x2D,,,"ESS AudioDrive","Start auto-initialize mode DMA for 16-bit ADC transfer","Block size must be previously set by command 48h. Input volume is controlled by command DDh. Maximum sample rate is 22 kHz."
0x40,nn,1.0+,,"Set time constant","Set time constant, X, for timer used for DMA mode DAC/ADC transfers: rate = 1 MHz / (256-X) X must be less than or equal to 233. For stereo DAC, program sample rate for twice the per-channel rate."
