register,rw,mixer,card,content,comments
0x00,W,"","","Reset","To reset the registers to initial conditions, write any value to mixer address 0: Write 0 to 2x4h (set mixer address to 0) Write 0 to 2x5h (write 0 to address 0 to reset mixer)"
0x04,R/W,"","","Voice volume","(ES1946) Backwards compatible 3-bit register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 14h."
0x0A,R/W,"","","Mic volume","(ES1946) Backwards compatible 2-bit register (L and R). Bit 0 is stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 1Ah."
0x0C,R/W,"","","Input Source","(ES1946) Backwards compatible input source register. Bit 0 is zeroed on write to internal state. See ESS1868 notes and register 1Ch."
0x22,R/W,"","","Master volume","(ES1946) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 32h."
0x26,R/W,"","","MIDI volume","(ES1946) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 36h."
0x28,R/W,"","","CD volume","(ES1946) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 38h."
0x2E,R/W,"","","Line volume","(ES1946) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 3Eh."

0x14,R/W,"","ESS AudioDrive","Voice volume","(ES1946) Full access version of register 0x04\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1A,R/W,"","ESS AudioDrive","Mic volume","(ES1946) Full access version of register 0x0A\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1C,R/W,"","ESS AudioDrive","Input Source","(ES1946) Full access version of register 0x0C\nBits 2-0: Input source 0,1,4,5 aka binary x0x = Microphone (default) 2 = CD (Aux) Input 6 = Line input 7 = Mixer\n\nRegister 0x0A on write translates D2:D1 from 0,1,2,3 to 0x00,0x55,0xAA,0xFF\nRegister 0x0A on read returns bits 3:2 of this register (top 2 bits of mic right volume) in bits 2:1 of result with bit 0 == 0"
0x32,R/W,"","ESS AudioDrive","Master volume","(ES1946) Full access version of register 0x22\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x36,R/W,"","ESS AudioDrive","FM volume","(ES1946) Full access version of register 0x26\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x38,R/W,"","ESS AudioDrive","AuxA (CD) volume","(ES1946) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3A,R/W,"","ESS AudioDrive","AuxB volume","(ES1946) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3C,R/W,"","ESS AudioDrive","PC speaker volume","(ES1946) Full access version of register 0x28\nBits 2-0: Level bits"
0x3E,R/W,"","ESS AudioDrive","Line volume","(ES1946) Full access version of register 0x2E\nBits 7-4: Left level bits\nBits 3-0: Right level bits"

0x48,R/W,"","ESS AudioDrive","Serial Mode Miscellaneous Control","(ES1946)\nBits 7-5: Reserved(0)\nBit 4: ES689/ES69x interface enable: 1 = Enable ES689/ES69x serial interface to use the music DAC. MCLK must also go high at least once every 20 μsecs or the DAC will revert to FM. The mixer volume for the music DAC is controller by mixer register 36h. 0 = Disable ES689/ES69x serial interface.\nBits 3-0: Reserved(0)"

0x50,R/W,"","ESS AudioDrive (ES1946)","3-D Enable and Mode","(ES1946)\nBits 7-4: Reserved(0)\nBit 3 Enable 3-D: 1 = Enable 3-D effect. This bit is ignored if the record monitor is enabled, register A8h bit 3. 0 = Disable 3-D effect (effect unit bypassed).\nBit 2 Reset: 1 = Release from reset. 0 = Reset 3-D effect.\nBit 1: Reserved(1)\nBit 0: Reserved(0)\n\n3-D effect uses Spatializer® VBX™ technology, provided by Desper Products, Inc., a subsidiary of Spatializer Audio Laboratories, Inc."
0x52,R/W,"","ESS AudioDrive (ES1946)","3-D Level","(ES1946)\nBits 7-6: Reserved(0)\nBits 5-0 3-D level: 0 is minimum effect; 3Fh is maximum effect.\n\n3-D effect uses Spatializer® VBX™ technology, provided by Desper Products, Inc., a subsidiary of Spatializer Audio Laboratories, Inc. Reset to zero by hardware reset."

0x64,R/W,"","ESS AudioDrive","Master Volume Control","(ES1946)\nBit 7 Split mode enable: 1 = Enable Split mode for hardware volume control. This mode splits hardware volume counters (61h and 63h) from the master volume control registers (60h and 62h). The host software is responsible for reading the counter register and updating the master volume registers. 0 = Disable Split mode. Hardware volume and master volume registers are slaved together. Registers 61h and 63h cannot be independently accessed.\nBit 6 MPU-401 IRQ mask: This bit is AND’d with the MPU-401 interrupt request. If this bit is low, the MPU-401 interrupt request stays low. This bit is cleared by hardware reset.\nBit 5 Volume count: 1 = Count up and down by 3 for each push of UP or DOWN button. 0 = Count up and down by 1 for each push of UP or DOWN button. This bit is cleared by hardware reset.\nBit 4 HWV IRQ flag: Read-only interrupt request from hardware volume event.\nBits 3-2 HWV operation mode: 0=Normal 3-wire mode (hardware reset default) 1=2-wire mode: UP and DOWN inputs low together act as a MUTE input low 2=2-wire enabled, debounce reduced (40 msec to 10 μsecs), auto-increment/-decrement disabled 3=Hardware volume control disabled\nBit 1 HWV interrupt mask: This bit is AND’d with the hardware volume interrupt request before being OR’d with the audio 1 interrupt request. If this bit is low, the hardware volume interrupt request does not get OR’d with the audio 1 interrupt request. This bit is cleared by hardware reset. When high, enables the hardware volume control to be shared with the audio interrupt.\nBit 0 SB Pro master volume disable: When low, a write to legacy master volume registers 22h or 32h is translated into a write to the hardware master volume counters, Mixer registers 60h and 62h. If high, the SB Pro Master Volume registers are, in effect, read-only. This bit is cleared by hardware reset."
0x66,R/W,"","ESS AudioDrive","Hardware Volume Interrupt Request Reset","(ES1946) Any write to this register resets the hardware volume interrupt request."
0x68,R/W,"","ESS AudioDrive","Mic Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x69,R/W,"","ESS AudioDrive","Audio 2 Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6A,R/W,"","ESS AudioDrive","CD (AuxA) Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6B,R/W,"","ESS AudioDrive","Music DAC Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6C,R/W,"","ESS AudioDrive","AuxB Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6D,R/W,"","ESS AudioDrive","I²S Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6E,R/W,"","ESS AudioDrive","Line Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
0x6F,R/W,"","ESS AudioDrive","I²S Record Volume","(ES1946)\nBits 7-4: Left volume\nBits 3-0: Right volume"
