register,rw,mixer,card,content,comments
0x00,W,"","","Reset","Resets mixer to default settings.\n\nBits 7-1: Reserved(0)\nBit 0: Reset stop (0)\n\nPROCEDURE:\na) Load index register\nb) Wait 100µs\nc) Write reset stop"
0x01,R,"CT1345","Sound Blaster Pro","Status","Contains previously selected register value"
0x02,R/W,"","","Master Volume","Bits 7-5: Left master volume (SBPro)\nBit 4: Reserved(1)\nBits 3-1: Right master volume (SBPro)\nBit 0: Reserved(1)\n\nDEFAULT: 099h, N/A"
0x04,R/W,"","","DAC Level","Bits 7-5 (SBPro): Left DAC level bits\nBits 7-4 (SB16): Left DAC level bits\nBits 3-1 (SBPro): Right DAC level bits\nBits 3-0 (SB16): Right DAC level bits\n\nDEFAULT: 099h, 0CCh\n\nMixer detection can be accomplished by looking for this register index.\nSoundBlaster 16 will automatically update registers 031h and 032h, transferring bits 7-4 and setting bit 3."
0x06,R/W,"","","FM Output Control","Bit 7: Reserved(0)\nBit 6: FM Right Channel (0=on, 1=off)\nBit 5: FM Left Channel (0=on, 1=off)\nBit 4: Reserved(1)\nBits 3-1: FM level\nBit 0: Reserved(1)\n\nDEFAULT: 019h, N/A\n\nFM level controls both channels.\nIf only one channel is active, the inactive channel's voices will be routed through the active one.\nSoundBlaster Pro will automatically update register 026h, transferring source bits 3-0 to destination bits 7-4 and 3-0."
0x0A,R/W,"","","Microphone Level","Bits 7-3: Reserved(0)\nBits 2-1 (SBPro): Microphone level\nBits 2-0 (SB16): Microphone level\n\nDEFAULT: 011h, 000h"
0x0C,R/W,"","","Input/Filter Select","Bits 7-6: Reserved(0)\nBit 5: Filter Input (SBPro) 0=on 1=off\nBit 4: Reserved(0)\nBit 3: Frequency (0=highpass, 1=lowpass)\nBits 2-1: Input select 0=Microphone 1=CD audio 3=Line in\nBit 0: Reserved(1)\n\nDEFAULT: 011h, N/A\n\nSoundBlaster 16 uses command 0Bxh/0Cxh for stereo output"
0x0E,R/W,"","","Output/Stereo Select","Bits 7-6: Reserved(0)\nBit 5: Filter Output (SBPro) 0=on 1=off\nBit 4: Reserved(1)\nBits 3-2: Reserved(0)\nBit 1: Stereo Output Mode (SBPro) 1=Stereo 0=Mono\nBit 0: Reserved(1)\n\nDEFAULT: 011h, N/A"
0x22,R/W,"","","Master Volume","Bits 7-5 (SBPro): Left Master\nBits 7-4 (SB16): Left Master\nBits 3-1 (SBPro): Right Master\nBits 3-0 (SB16): Right Master\n\nDEFAULT: 011h, 0CCh\n\nSoundBlaster 16 will automatically update registers 030h and 031h, transferring bits 7-4 and setting bit 3.\nSoundBlaster Pro register 002h is the same as this."
0x26,R/W,"","","FM Level","Bits 7-5 (SBPro): Left FM\nBits 7-4 (SB16): Left FM\nBits 3-1 (SBPro): Right FM\nBits 3-0 (SB16): Right FM\n\nDEFAULT: 011h, 0CCh\n\nSoundBlaster 16 will automatically update registers 033h and 034h, transferring bits 7-4 and setting bit 3.\nSoundBlaster Pro will automatically update register 006h, transferring bits 3-1 and setting bit 0."

