register,rw,mixer,card,content,comments
0x00,W,"","","Reset","To reset the registers to initial conditions, write any value to mixer address 0: Write 0 to 2x4h (set mixer address to 0) Write 0 to 2x5h (write 0 to address 0 to reset mixer)"
0x04,R/W,"","","Voice volume","(ES1887) Backwards compatible 3-bit register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 14h."
0x0A,R/W,"","","Mic volume","(ES1887) Backwards compatible 2-bit register (L and R). Bit 0 is stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 1Ah."
0x0C,R/W,"","","Input Source","(ES1887) Backwards compatible input source register. Bit 0 is zeroed on write to internal state. See datasheet notes and register 1Ch."
0x22,R/W,"","","Master volume","(ES1887) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 32h."
0x26,R/W,"","","MIDI volume","(ES1887) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 36h."
0x28,R/W,"","","CD volume","(ES1887) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 38h."
0x2E,R/W,"","","Line volume","(ES1887) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See datasheet notes and register 3Eh."

0x14,R/W,"","ESS AudioDrive","Voice volume","(ES1887) Full access version of register 0x04\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1A,R/W,"","ESS AudioDrive","Mic volume","(ES1887) Full access version of register 0x0A\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1C,R/W,"","ESS AudioDrive","Input Source","(ES1887) Full access version of register 0x0C\nBits 2-0: Input source 0,1,4,5 aka binary x0x = Microphone (default) 2 = CD (Aux) Input 6 = Line input 7 = Mixer\n\nRegister 0x0A on write translates D2:D1 from 0,1,2,3 to 0x00,0x55,0xAA,0xFF\nRegister 0x0A on read returns bits 3:2 of this register (top 2 bits of mic right volume) in bits 2:1 of result with bit 0 == 0"
0x32,R/W,"","ESS AudioDrive","Master volume","(ES1887) Full access version of register 0x22\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x36,R/W,"","ESS AudioDrive","Music DAC volume","(ES1887) Full access version of register 0x26\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x38,R/W,"","ESS AudioDrive","CD (AuxA) volume","(ES1887) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3A,R/W,"","ESS AudioDrive","AuxB volume","(ES1887) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3C,R/W,"","ESS AudioDrive","PC speaker volume","(ES1887) Full access version of register 0x28\nBits 2-0: Level bits"
0x3E,R/W,"","ESS AudioDrive","Line volume","(ES1887) Full access version of register 0x2E\nBits 7-4: Left level bits\nBits 3-0: Right level bits"

0x40,R/W,"","ESS AudioDrive","FM/Joystick/MPU-401 Configuration","(ES1887)\nBits 7-5 MPU-401 enable and IRQ select: 0=MPU-401 disabled (default) 1=MPU-401 enabled/No IRQ 2=Share IRQ with audio 3=IRQE 4=IRQA 5=IRQB 6=IRQC 7=IRQD\nBits 4-3 MPU-401 address: 0=300h 1=310h 2=320h 3=330h\nBit 2 Restart configuration: (Write Only) Used for the ES1888 Compatible Read-Sequence-Key method of software address selection. In this case, writing this bit high puts the ES1887 in its disabled state in anticipation of a new read-sequence-key. The read-sequence-key is used to change the base register address. See “ES1888 Compatible Read-Sequence-Key Method” on page 22.\nBit 1 Joystick enable: (R/W) For backward compatibility to the ES1888, this bit, when high, enables the decode of register address 201h for read and write to access the internal joystick port. Setting this bit high overrides enable or address selected via SCR 0 bits 5:3 of 0E1h.\nBit 0 FM enable: (R/W) For backward compatibility to the ES1888, this bit, when high enables the decode of register addresses 388h-3B8h for the internal FM synthesizer. It does not affect FM synthesizer addresses. These are offsets of the base register address. Setting this bit high enables FM alias at the base address specified by SCR 0 bits 7:6 of 0E1h.\n\nBits 7:3 and Bits 1:0 are cleared by hardware reset. This register is not affected by a mixer reset command (register 00h)."
0x42,R/W,"","ESS AudioDrive","Serial Mode Input Control","(ES1887)\nBit 7: Input override\n1 = Input source and input volume replace normal values as programmed by the application when the ES1887 is in serial mode. 0 = Input source and input volume are unchanged during serial mode.\nBit 6: Preamp bypass: 1 = the 26 dB microphone preamp (if bit 7 is high) is bypassed during serial mode.\nBits 5-4: Input source\nRecord source selects the record source during serial mode if bit 7 is high. The values below override the normal mixer settings (register 0Ch or 1Ch): 0=Microphone (default) 1=CD (AuxA) input 2=Microphone 3=Mixer\nBits 4:3 of Register 7Ah determines if the mixer input source is Record or Playback Mixer.\n\nBits 3-0: Input volume\nIf bit 7 is high during serial mode, this value overrides the record volume settings set via controller register B4h. For microphone source, the record gain is from 0 to +22 dB in steps of 1.5 dB. For other sources, the record gain is from -6 to +16.5 dB in steps of 1.5 dB."
