register,rw,mixer,card,content,comments
0x00,W,"","","Reset","Resets mixer to default settings.{bitfield:bit[7:1]=Reserved(0),bit[0]=Reset stop (0)}PROCEDURE:\na) Load index register\nb) Wait 100µs\nc) Write reset stop"
0x01,R,"CT1345","Sound Blaster Pro","Status","Contains previously selected register value"
0x02,R/W,"","","Master Volume","{bitfield:bit[7:5]=Left master volume (SBPro),bit[4]=Reserved(1),bit[3:1]=Right master volume (SBPro),bit[0]=Reserved(1)}DEFAULT: SBPro 099h, SB16 N/A"
0x04,R/W,"","","DAC Level","DEFAULT: SBPro 099h, SB16 0CCh\n\nMixer detection can be accomplished by looking for this register index.\nSoundBlaster 16 will automatically update registers 031h and 032h, transferring bits 7-4 and setting bit 3."
0x06,R/W,"","","FM Output Control","{bitfield:bit[7]=Reserved(0),bit[6]=FM Right Channel (0=on\, 1=off),bit[5]=FM Left Channel (0=on\, 1=off),bit[4]=Reserved(1),bit[3:1]=FM level,bit[0]=Reserved(1)}DEFAULT: SBPro 019h, SB16 N/A\n\nFM level controls both channels.\nIf only one channel is active, the inactive channel's voices will be routed through the active one.\nSoundBlaster Pro will automatically update register 026h, transferring source bits 3-0 to destination bits 7-4 and 3-0."
0x0A,R/W,"","","Microphone Level","DEFAULT: SBPro 011h, SB16 000h"
0x0C,R/W,"","","Input/Filter Select","Bits 7-6: Reserved(0)\nBit 5: Filter Input (SBPro) 0=on 1=off\nBit 4: Reserved(0)\nBit 3: Frequency (0=highpass, 1=lowpass)\nBits 2-1: Input select 0=Microphone 1=CD audio 3=Line in\nBit 0: Reserved(1)\n\nDEFAULT: 011h, N/A\n\nSoundBlaster 16 uses command 0Bxh/0Cxh for stereo output"
0x0E,R/W,"","","Output/Stereo Select","Bits 7-6: Reserved(0)\nBit 5: Filter Output (SBPro) 0=on 1=off\nBit 4: Reserved(1)\nBits 3-2: Reserved(0)\nBit 1: Stereo Output Mode (SBPro) 1=Stereo 0=Mono\nBit 0: Reserved(1)\n\nDEFAULT: 011h, N/A"
0x22,R/W,"","","Master Volume","Bits 7-5 (SBPro): Left Master\nBits 7-4 (SB16): Left Master\nBits 3-1 (SBPro): Right Master\nBits 3-0 (SB16): Right Master\n\nDEFAULT: 011h, 0CCh\n\nSoundBlaster 16 will automatically update registers 030h and 031h, transferring bits 7-4 and setting bit 3.\nSoundBlaster Pro register 002h is the same as this."
0x26,R/W,"","","FM Level","Bits 7-5 (SBPro): Left FM\nBits 7-4 (SB16): Left FM\nBits 3-1 (SBPro): Right FM\nBits 3-0 (SB16): Right FM\n\nDEFAULT: 011h, 0CCh\n\nSoundBlaster 16 will automatically update registers 033h and 034h, transferring bits 7-4 and setting bit 3.\nSoundBlaster Pro will automatically update register 006h, transferring bits 3-1 and setting bit 0."
0x28,R/W,"","","CD Audio Level","Bits 7-5 (SBPro): Left CD audio\nBits 7-4 (SB16): Left CD audio\nBits 3-1 (SBPro): Right CD audio\nBits 3-0 (SB16): Right CD audio\n\nDEFAULT: 011h, 000h\n\nSoundBlaster 16 will automatically update registers 035h and 036h, transferring bits 7-4 and setting bit 3."
0x2E,R/W,"","","Line In Level","Bits 7-5 (SBPro): Left Line In\nBits 7-4 (SB16):Left Line In\nBits 3-1 (SBPro):Right Line In\nBits 3-0 (SB16): Right Line In\n\nDEFAULT:011h, 000h\n\nSoundBlaster 16 will automatically update registers 037h and 038h, transferring bits 7-4 and setting bit 3."
0x30,R/W,"CT1745","Sound Blaster 16","Master Volume Left","Bits 7-3 (SB16): Left Master Volume (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 7-4 of register 022h\nSoundBlaster Pro selects register 020h for 030h."
0x31,R/W,"CT1745","Sound Blaster 16","Master Volume Right","Bits 7-3 (SB16): Right Master Volume (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 3-0 of register 022h."
